,year,src_abb,tgt_abb,src_num,tgt_num,flow,trade_dependence,conflict,trade_dependence_inv,conflict_inv,democ_src,autoc_src,GDP_per_cap_src,avg_temp_src,years_in_school_src,birth_rateper1000_src,LandLocked_src,water_risk_src,snow_src,tsunami_src,tornado_src,avalanche_src,fire_src,severe_storms_src,mudslide_src,icestorms_src,tropical_storms_src,democ_tgt,autoc_tgt,GDP_per_cap_tgt,avg_temp_tgt,years_in_school_tgt,birth_rateper1000_tgt,LandLocked_tgt,water_risk_tgt,snow_tgt,tsunami_tgt,tornado_tgt,avalanche_tgt,fire_tgt,severe_storms_tgt,mudslide_tgt,icestorms_tgt,tropical_storms_tgt,trade_dependence_factor,conflict_factor,trade_dependence_inv_factor,conflict_inv_factor,democ_src_factor,autoc_src_factor,GDP_per_cap_src_factor,avg_temp_src_factor,years_in_school_src_factor,birth_rateper1000_src_factor,LandLocked_src_factor,water_risk_src_factor,snow_src_factor,tsunami_src_factor,tornado_src_factor,avalanche_src_factor,fire_src_factor,severe_storms_src_factor,mudslide_src_factor,icestorms_src_factor,tropical_storms_src_factor,democ_tgt_factor,autoc_tgt_factor,GDP_per_cap_tgt_factor,avg_temp_tgt_factor,years_in_school_tgt_factor,birth_rateper1000_tgt_factor,LandLocked_tgt_factor,water_risk_tgt_factor,snow_tgt_factor,tsunami_tgt_factor,tornado_tgt_factor,avalanche_tgt_factor,fire_tgt_factor,severe_storms_tgt_factor,mudslide_tgt_factor,icestorms_tgt_factor,tropical_storms_tgt_factor,bias_factor,log_prediction,flow_prediction,log_prediction_accuracy_sigma
829502,1970,IDN,AUS,360,36,1301.6,0.01373141,0.0,0.001652486,0.0,0,7,79.71453609999998,26.88173387096775,2.26,39.973,0,3,0,1,0,0,0,1,0,0,0,10,0,3299.843207,17.725230870712398,9.35,20.6,0,3,0,0,0,0,1,1,0,0,0,0.8505750002843684,-0.16342674634107307,-1.1354209094497951,0.4445761697126376,0.04695198112826633,0.25782716373178144,1.6780775451480576,0.07822797462103387,0.09366056491562627,0.09900484274728903,0.2202984726014668,0.1366654380764596,-0.8528973082749227,0.1785280565169462,0.03387575316473518,-0.2446215692807658,0.030694220976959983,0.2360517752568169,0.06676110575532679,-0.3970000979435514,0.3136537526051446,0.12389189382148022,-0.4339744031736637,-0.5027105059299632,0.5570520580165129,0.2466147743291179,-0.1165417841520424,0.09689942948040793,0.019841712919215874,-0.8839864338358882,0.37704672202624695,0.6624846124831751,-0.2263383959872257,0.14971836546245762,0.1319123634083039,-0.11311147004998914,-0.19823189915645328,0.3993841317923487,2.8022968453652,5.06431120277205,158.27138762673178,1.8807937785379147
781473,1970,GRC,SAU,300,682,3.4,0.0005022884,0.0,0.001703447,0.0,0,7,1494.3878550000004,16.736500000000003,6.04,16.5,0,4,0,0,0,0,0,1,0,0,0,0,10,921.3459441,25.52423611111111,3.19,46.772,0,5,0,0,0,0,0,1,0,0,0,-0.9024391273588308,-0.16342674634107307,-1.126187481315995,0.4445761697126376,0.04695198112826633,0.25782716373178144,1.0137070219403532,0.7788212189729754,-0.01151223016719639,0.4485154230121541,0.2202984726014668,-0.030379075649971683,-0.8528973082749227,0.1017046198149135,0.03387575316473518,-0.2446215692807658,0.030694220976959983,0.2360517752568169,0.06676110575532679,-0.3970000979435514,0.3136537526051446,-0.2337659026437577,0.4645741150269526,-0.6227178297934982,0.2969794494363279,0.234663426016129,0.8100566134749663,0.09689942948040793,0.6694524184829429,-0.8839864338358882,0.37704672202624695,0.6624846124831751,-0.2263383959872257,0.13051463818571624,0.1319123634083039,-0.11311147004998914,-0.19823189915645328,0.3993841317923487,2.8022968453652,5.06308787605313,158.07788838993213,1.8807937785379147
1930599,1970,ZMB,SWE,894,752,4.0,0.01879158,0.0,0.0008410475999999999,0.0,3,3,436.76871280000006,20.875,2.84,49.41,1,1,0,0,0,0,0,1,0,0,1,10,0,4674.662079,3.688614106019768,7.96,13.7,0,1,0,0,0,0,0,0,0,1,0,1.1400360130930771,-0.16342674634107307,-1.2876374747838215,0.4445761697126376,-0.07809410197089611,0.2014435255643914,1.482494742406845,0.4112635102714139,0.06251862141190456,0.4070260225177768,0.05993291538203147,-0.2350323750241257,-0.8528973082749227,0.1017046198149135,0.03387575316473518,-0.2446215692807658,0.030694220976959983,0.2360517752568169,0.06676110575532679,-0.3970000979435514,-0.0334220589907178,0.12389189382148022,-0.4339744031736637,-0.4217304440134285,-0.06994672196746579,0.4909747596589705,0.2577245416216984,0.09689942948040793,-0.14315835416442832,-0.8839864338358882,0.37704672202624695,0.6624846124831751,-0.2263383959872257,0.13051463818571624,0.14832155506816228,-0.11311147004998914,0.478464325050743,0.3993841317923487,2.8022968453652,5.062004494081019,157.9067223912812,1.8807937785379147
609268,1970,EGY,FRA,818,250,3199.0,0.01187486,0.0,0.0004947973,0.0,0,7,233.01371630000003,21.980925925925927,1.03,41.74100000000001,0,4,0,0,0,0,0,1,0,0,0,8,0,2857.252176,11.00708333333333,4.96,17.0,0,3,0,0,0,1,0,0,0,0,0,0.6987005626070981,-0.16342674634107307,-1.355608978644567,0.4445761697126376,0.04695198112826633,0.25782716373178144,1.5916378508915048,0.5695991034867456,0.1827063506695923,0.19995783715305904,0.2202984726014668,-0.030379075649971683,-0.8528973082749227,0.1017046198149135,0.03387575316473518,-0.2446215692807658,0.030694220976959983,0.2360517752568169,0.06676110575532679,-0.3970000979435514,0.3136537526051446,0.17087189437712516,-0.4339744031736637,-0.5279633287700819,-0.14851933612836246,0.25075439888644485,-0.15273945437308498,0.09689942948040793,0.019841712919215874,-0.8839864338358882,0.37704672202624695,0.6624846124831751,0.5065702658978284,0.13051463818571624,0.14832155506816228,-0.11311147004998914,-0.19823189915645328,0.3993841317923487,2.8022968453652,5.057522824415546,157.2006200641161,1.8807937785379147
440289,1970,COD,SAU,180,682,125.6,0.0,0.0,0.0,0.0,0,7,243.74974440000003,24.433872549019608,0.82,46.647,0,1,0,0,0,0,0,0,0,0,0,0,10,921.3459441,25.52423611111111,3.19,46.772,0,5,0,0,0,0,0,1,0,0,0,-1.0037898893423254,-0.16342674634107307,-1.4559365442491004,0.4445761697126376,0.04695198112826633,0.25782716373178144,1.5857246919941597,0.7451482349192254,0.2687305427594123,0.4513751411113805,0.2202984726014668,-0.2350323750241257,-0.8528973082749227,0.1017046198149135,0.03387575316473518,-0.2446215692807658,0.030694220976959983,0.04418162375056675,0.06676110575532679,-0.3970000979435514,0.3136537526051446,-0.2337659026437577,0.4645741150269526,-0.6227178297934982,0.2969794494363279,0.234663426016129,0.8100566134749663,0.09689942948040793,0.6694524184829429,-0.8839864338358882,0.37704672202624695,0.6624846124831751,-0.2263383959872257,0.13051463818571624,0.1319123634083039,-0.11311147004998914,-0.19823189915645328,0.3993841317923487,2.8022968453652,5.056911777282019,157.10459241753398,1.8807937785379147
1132922,1970,LKA,NZL,144,554,128.2,0.00389293,0.0,0.0013812879999999998,0.0,8,0,183.9274715,25.4275,5.33,30.601,0,2,0,0,1,0,1,0,0,0,0,10,0,2356.540184,13.019999999999996,10.69,22.1,0,1,0,0,0,1,0,1,0,0,0,-0.2912700740379252,-0.16342674634107307,-1.1852026649787604,0.4445761697126376,0.3868355354620281,-0.029959019393629018,1.6189064428010669,0.6028873369272125,0.19729711953243945,0.12343995330817532,0.2202984726014668,0.2791821489019229,-0.8528973082749227,0.1017046198149135,0.2463560362280756,-0.2446215692807658,0.249537860680621,0.04418162375056675,0.06676110575532679,-0.3970000979435514,0.3136537526051446,0.12389189382148022,-0.4339744031736637,-0.5553541535936724,-0.09547008004039033,0.2625600072591774,0.2547239727039811,0.09689942948040793,-0.14315835416442832,-0.8839864338358882,0.37704672202624695,0.6624846124831751,0.5065702658978284,0.13051463818571624,0.1319123634083039,-0.11311147004998914,-0.19823189915645328,0.3993841317923487,2.8022968453652,5.0562387862403515,156.99889800391819,1.8807937785379147
1432915,1970,NPL,SAU,524,682,134.4,0.0,0.0,0.0,0.0,0,9,71.71860301,17.566666666666666,0.25,42.658,1,4,0,0,0,0,0,1,0,0,0,0,10,921.3459441,25.52423611111111,3.19,46.772,0,5,0,0,0,0,0,1,0,0,0,-1.0037898893423254,-0.16342674634107307,-1.4559365442491004,0.4445761697126376,0.04695198112826633,-0.28603005721209124,1.6826899360759822,1.0554827679475391,0.38768676429844395,0.2318266081615228,0.05993291538203147,-0.030379075649971683,-0.8528973082749227,0.1017046198149135,0.03387575316473518,-0.2446215692807658,0.030694220976959983,0.2360517752568169,0.06676110575532679,-0.3970000979435514,0.3136537526051446,-0.2337659026437577,0.4645741150269526,-0.6227178297934982,0.2969794494363279,0.234663426016129,0.8100566134749663,0.09689942948040793,0.6694524184829429,-0.8839864338358882,0.37704672202624695,0.6624846124831751,-0.2263383959872257,0.13051463818571624,0.1319123634083039,-0.11311147004998914,-0.19823189915645328,0.3993841317923487,2.8022968453652,5.055919915698425,156.94884366108178,1.8807937785379147
716511,1970,FRA,THA,250,764,74.4,0.00017168919999999998,0.0,0.004487381,0.0,8,0,2857.252176,11.00708333333333,4.96,17.0,0,3,0,0,0,1,0,0,0,0,0,4,2,192.1276287,27.19110632183908,1.87,37.846,0,3,0,0,0,0,0,0,0,0,0,-0.9688225035389804,-0.16342674634107307,-0.6778127679318926,0.4445761697126376,0.3868355354620281,-0.029959019393629018,0.6162339390427234,0.21566162392594904,0.31520073613539823,0.4308186463658017,0.2202984726014668,0.1366654380764596,-0.8528973082749227,0.1017046198149135,0.03387575316473518,0.52485333038202,0.030694220976959983,0.04418162375056675,0.06676110575532679,-0.3970000979435514,0.3136537526051446,0.5208590950026295,0.4397391766604167,-0.6479292033264682,0.20439320704776745,0.2802962594392547,0.25091924258486137,0.09689942948040793,0.019841712919215874,-0.8839864338358882,0.37704672202624695,0.6624846124831751,-0.2263383959872257,0.13051463818571624,0.14832155506816228,-0.11311147004998914,-0.19823189915645328,0.3993841317923487,2.8022968453652,5.055495750047461,156.88228546948955,1.8807937785379147
901677,1970,IND,ZAF,356,710,324.0,0.0,0.0,5.972291e-05,0.0,9,0,112.4344962,24.291768707483,1.24,39.108,0,5,0,0,0,0,0,1,0,0,0,7,3,834.5527676,17.872392857142863,4.44,38.542,0,3,0,0,0,0,0,0,0,0,0,-1.0037898893423254,-0.16342674634107307,-1.4436255224318202,0.4445761697126376,0.3041330345096029,-0.029959019393629018,1.6593111485125414,0.7327463043195709,0.09065815105103917,0.03788236833271452,0.2202984726014668,0.5604285801710156,-0.8528973082749227,0.1017046198149135,0.03387575316473518,-0.2446215692807658,0.030694220976959983,0.2360517752568169,0.06676110575532679,-0.3970000979435514,0.3136537526051446,0.0950685174256818,0.6048779346042233,-0.626091194841209,0.561233427971999,0.0957450187708542,0.41090090721372297,0.09689942948040793,0.019841712919215874,-0.8839864338358882,0.37704672202624695,0.6624846124831751,-0.2263383959872257,0.13051463818571624,0.14832155506816228,-0.11311147004998914,-0.19823189915645328,0.3993841317923487,2.8022968453652,5.0543113632125864,156.69658614757842,1.8807937785379147
517323,1970,DEU,THA,276,764,119.2,0.0006308837000000001,0.0,0.01890909,0.0,0,0,2750.719742,7.799643361581925,7.71,13.4,0,3,0,0,0,0,0,0,0,0,0,4,2,192.1276287,27.19110632183908,1.87,37.846,0,3,0,0,0,0,0,0,0,0,0,-0.8769530812789593,-0.16342674634107307,0.2633407530765696,0.4445761697126376,0.04695198112826633,-0.029959019393629018,0.6401751062021809,0.1957369708511469,-0.09896620867527696,0.9125769391647396,0.2202984726014668,0.1366654380764596,-0.8528973082749227,0.1017046198149135,0.03387575316473518,-0.2446215692807658,0.030694220976959983,0.04418162375056675,0.06676110575532679,-0.3970000979435514,0.3136537526051446,0.5208590950026295,0.4397391766604167,-0.6479292033264682,0.20439320704776745,0.2802962594392547,0.25091924258486137,0.09689942948040793,0.019841712919215874,-0.8839864338358882,0.37704672202624695,0.6624846124831751,-0.2263383959872257,0.13051463818571624,0.14832155506816228,-0.11311147004998914,-0.19823189915645328,0.3993841317923487,2.8022968453652,5.050768101392316,156.1423515954328,1.8807937785379147
