"src_abb","src_num","tgt_abb","tgt_num","year","intensity_level"
"HTI",332,"SCG",891,NA,NA
"IRL",372,"SCG",891,NA,NA
"ISL",352,"SCG",891,NA,NA
"ITA",380,"SCG",891,NA,NA
"JAM",388,"SCG",891,NA,NA
"JPN",392,"SCG",891,NA,NA
"KAZ",398,"SCG",891,NA,NA
"KEN",404,"SCG",891,NA,NA
"KGZ",417,"SCG",891,NA,NA
"KHM",116,"SCG",891,NA,NA
"KIR",296,"SCG",891,NA,NA
"KOR",410,"SCG",891,NA,NA
"KWT",414,"SCG",891,NA,NA
"LBR",430,"SCG",891,NA,NA
"LBY",434,"SCG",891,NA,NA
"LCA",662,"SCG",891,NA,NA
"LKA",144,"SCG",891,NA,NA
"LSO",426,"SCG",891,NA,NA
"LTU",440,"SCG",891,NA,NA
"LUX",442,"SCG",891,NA,NA
"LVA",428,"SCG",891,NA,NA
"MAC",446,"SCG",891,NA,NA
"MAR",504,"SCG",891,NA,NA
"MDA",498,"SCG",891,NA,NA
"MDG",450,"SCG",891,NA,NA
"MDV",462,"SCG",891,NA,NA
"MEX",484,"SCG",891,NA,NA
"MKD",807,"SCG",891,NA,NA
"MLI",466,"SCG",891,NA,NA
"MLT",470,"SCG",891,NA,NA
"MMR",104,"SCG",891,NA,NA
"MNG",496,"SCG",891,NA,NA
"MOZ",508,"SCG",891,NA,NA
"MRT",478,"SCG",891,NA,NA
"MTQ",474,"SCG",891,NA,NA
"MUS",480,"SCG",891,NA,NA
"MWI",454,"SCG",891,NA,NA
"MYS",458,"SCG",891,NA,NA
"MYT",175,"SCG",891,NA,NA
"NAM",516,"SCG",891,NA,NA
"NCL",540,"SCG",891,NA,NA
"NER",562,"SCG",891,NA,NA
"NGA",566,"SCG",891,NA,NA
"NIC",558,"SCG",891,NA,NA
"NLD",528,"SCG",891,NA,NA
"NOR",578,"SCG",891,NA,NA
"NPL",524,"SCG",891,NA,NA
"NZL",554,"SCG",891,NA,NA
"OMN",512,"SCG",891,NA,NA
"PAK",586,"SCG",891,NA,NA
"PER",604,"SCG",891,NA,NA
"PHL",608,"SCG",891,NA,NA
"PNG",598,"SCG",891,NA,NA
"POL",616,"SCG",891,NA,NA
"PRI",630,"SCG",891,NA,NA
"PRT",620,"SCG",891,NA,NA
"PRY",600,"SCG",891,NA,NA
"PSE",275,"SCG",891,NA,NA
"PYF",258,"SCG",891,NA,NA
"QAT",634,"SCG",891,NA,NA
"REU",638,"SCG",891,NA,NA
"ROU",642,"SCG",891,NA,NA
"RWA",646,"SCG",891,NA,NA
"SAU",682,"SCG",891,NA,NA
"SCG",891,"SCG",891,NA,NA
"SEN",686,"SCG",891,NA,NA
"SGP",702,"SCG",891,NA,NA
"SLB",90,"SCG",891,NA,NA
"SLE",694,"SCG",891,NA,NA
"SOM",706,"SCG",891,NA,NA
"STP",678,"SCG",891,NA,NA
"SUR",740,"SCG",891,NA,NA
"SVK",703,"SCG",891,NA,NA
"SVN",705,"SCG",891,NA,NA
"SWE",752,"SCG",891,NA,NA
"SWZ",748,"SCG",891,NA,NA
"SYC",690,"SCG",891,NA,NA
"TGO",768,"SCG",891,NA,NA
"THA",764,"SCG",891,NA,NA
"TJK",762,"SCG",891,NA,NA
"TKM",795,"SCG",891,NA,NA
"TLS",626,"SCG",891,NA,NA
"TON",776,"SCG",891,NA,NA
"TTO",780,"SCG",891,NA,NA
"TUN",788,"SCG",891,NA,NA
"TUR",792,"SCG",891,NA,NA
"UGA",800,"SCG",891,NA,NA
"UKR",804,"SCG",891,NA,NA
"URY",858,"SCG",891,NA,NA
"UZB",860,"SCG",891,NA,NA
"VCT",670,"SCG",891,NA,NA
"VEN",862,"SCG",891,NA,NA
"VIR",850,"SCG",891,NA,NA
"VNM",704,"SCG",891,NA,NA
"VUT",548,"SCG",891,NA,NA
"WSM",882,"SCG",891,NA,NA
"YEM",887,"SCG",891,NA,NA
"ZAF",710,"SCG",891,NA,NA
"ZMB",894,"SCG",891,NA,NA
"ZWE",716,"SCG",891,NA,NA
NA,NA,"SEN",686,NA,NA
NA,NA,"SGP",702,NA,NA
NA,NA,"SLB",90,NA,NA
NA,NA,"SLE",694,NA,NA
NA,NA,"SLV",222,NA,NA
"ETH",231,"SOM",706,1964,1
"ETH",231,"SOM",706,1977,2
"ETH",231,"SOM",706,1978,2
"ETH",231,"SOM",706,1980,1
NA,NA,"STP",678,NA,NA
NA,NA,"SUR",740,NA,NA
NA,NA,"SVK",703,NA,NA
NA,NA,"SVN",705,NA,NA
NA,NA,"SWE",752,NA,NA
NA,NA,"SWZ",748,NA,NA
NA,NA,"SYC",690,NA,NA
"ISR",376,"SYR",760,1967,2
"ISR",376,"SYR",760,1973,2
NA,NA,"TCD",148,NA,NA
NA,NA,"TGO",768,NA,NA
"FRA",250,"THA",764,1946,1
"LAO",418,"THA",764,1986,1
"LAO",418,"THA",764,1987,1
"LAO",418,"THA",764,1988,1
NA,NA,"TJK",762,NA,NA
NA,NA,"TKM",795,NA,NA
NA,NA,"TLS",626,NA,NA
NA,NA,"TON",776,NA,NA
NA,NA,"TTO",780,NA,NA
"FRA",250,"TUN",788,1961,2
"CYP",196,"TUR",792,1974,2
NA,NA,"TZA",834,NA,NA
"TZA",834,"UGA",800,1978,1
NA,NA,"UKR",804,NA,NA
NA,NA,"URY",858,NA,NA
"AFG",4,"USA",840,2001,2
"GRD",308,"USA",840,1983,1
"PAN",591,"USA",840,1989,1
NA,NA,"UZB",860,NA,NA
NA,NA,"VCT",670,NA,NA
NA,NA,"VEN",862,NA,NA
NA,NA,"VIR",850,NA,NA
NA,NA,"VNM",704,NA,NA
NA,NA,"VUT",548,NA,NA
NA,NA,"WSM",882,NA,NA
NA,NA,"YEM",887,NA,NA
NA,NA,"ZAF",710,NA,NA
NA,NA,"ZMB",894,NA,NA
NA,NA,"ZWE",716,NA,NA
