Country,Year,CINC
90,1954,0.0004455
91,1954,0.0001404
92,1954,0.0002696
93,1954,0.0002064
94,1954,0.0000733
95,1954,0.0001952
100,1954,0.0027655
101,1954,0.0050231
130,1954,0.0006581
135,1954,0.0017158
140,1954,0.0118566
145,1954,0.0004778
150,1954,0.0002979
155,1954,0.0020817
160,1954,0.0074129
165,1954,0.0007716
200,1954,0.0565141
205,1954,0.0007832
210,1954,0.0075274
211,1954,0.0085987
212,1954,0.0024755
220,1954,0.0329684
225,1954,0.0016662
230,1954,0.0114784
235,1954,0.0019737
265,1954,0.0120997
290,1954,0.0143315
310,1954,0.0054141
315,1954,0.0108711
325,1954,0.01819
339,1954,0.0005296
345,1954,0.0066846
350,1954,0.002659
355,1954,0.0031162
360,1954,0.0068557
365,1954,0.1845277
375,1954,0.0012795
380,1954,0.0047188
385,1954,0.001208
390,1954,0.0016729
395,1954,0.0000127
450,1954,0.0001201
530,1954,0.0021927
560,1954,0.0051388
620,1954,0.0001859
630,1954,0.0038649
640,1954,0.0068057
645,1954,0.0014358
651,1954,0.005177
652,1954,0.0009914
660,1954,0.0003692
663,1954,0.0003223
666,1954,0.0010701
670,1954,0.0017959
678,1954,0.0004616
700,1954,0.0011561
710,1954,0.0943573
712,1954,0.0002929
713,1954,0.0064802
731,1954,0.0038194
732,1954,0.0084658
740,1954,0.0310522
750,1954,0.0464947
770,1954,0.0100738
775,1954,0.0021398
780,1954,0.0008329
790,1954,0.0007867
800,1954,0.0028946
811,1954,0.000898
812,1954,0.0003251
816,1954,0.0028113
817,1954,0.0032348
840,1954,0.003158
850,1954,0.011505
900,1954,0.0072606
920,1954,0.0006659
2,1955,0.2664225
20,1955,0.0131893
40,1955,0.0013484
41,1955,0.0003433
42,1955,0.0004113
70,1955,0.0062768
90,1955,0.0004379
91,1955,0.0001469
92,1955,0.0002958
93,1955,0.0002033
94,1955,0.0000732
95,1955,0.0001885
100,1955,0.0028344
101,1955,0.0051448
130,1955,0.0007256
135,1955,0.0015391
140,1955,0.0107741
145,1955,0.0004674
150,1955,0.0002859
155,1955,0.001989
160,1955,0.0073768
165,1955,0.0007357
200,1955,0.0505929
205,1955,0.0007489
210,1955,0.0070863
211,1955,0.007855
212,1955,0.002149
220,1955,0.0306306
225,1955,0.0016005
230,1955,0.0109089
235,1955,0.0019248
260,1955,0.0377847
265,1955,0.0109643
290,1955,0.013612
305,1955,0.0033667
310,1955,0.0051515
315,1955,0.0099775
325,1955,0.0175808
339,1955,0.0005177
345,1955,0.0065908
350,1955,0.0023906
355,1955,0.0030606
360,1955,0.0067051
365,1955,0.1791656
375,1955,0.0012335
380,1955,0.0043987
385,1955,0.0011339
390,1955,0.0015703
395,1955,0.0000128
450,1955,0.0001191
530,1955,0.0019843
560,1955,0.0047844
620,1955,0.0001895
630,1955,0.0045821
640,1955,0.0069018
645,1955,0.0014816
651,1955,0.0051593
652,1955,0.0009531
660,1955,0.0003708
663,1955,0.0003238
666,1955,0.0011279
670,1955,0.0016605
678,1955,0.0004567
700,1955,0.0011547
710,1955,0.0913439
712,1955,0.0004249
713,1955,0.0065917
731,1955,0.0040766
732,1955,0.0092597
740,1955,0.0299872
750,1955,0.0451643
770,1955,0.0098826
775,1955,0.0021066
780,1955,0.0008009
790,1955,0.0007682
800,1955,0.0028065
811,1955,0.0008224
812,1955,0.0003219
816,1955,0.0034276
817,1955,0.003026
840,1955,0.003145
850,1955,0.0119143
900,1955,0.0067885
920,1955,0.0006244
2,1956,0.2606138
20,1956,0.013736
40,1956,0.0013235
41,1956,0.0003448
42,1956,0.0004385
70,1956,0.0063226
90,1956,0.0004474
91,1956,0.0001507
92,1956,0.0002966
93,1956,0.0002095
94,1956,0.0001186
95,1956,0.0001878
100,1956,0.0029748
101,1956,0.005472
130,1956,0.0007282
135,1956,0.0016011
140,1956,0.0117878
145,1956,0.000531
150,1956,0.0002773
155,1956,0.0020857
160,1956,0.0071589
165,1956,0.0007264
200,1956,0.0492237
205,1956,0.0007066
210,1956,0.0070881
211,1956,0.0079786
212,1956,0.0021872
220,1956,0.0325624
225,1956,0.0015855
230,1956,0.0107137
235,1956,0.0019266
260,1956,0.0375918
265,1956,0.0107031
290,1956,0.0139219
305,1956,0.0034576
310,1956,0.0050237
315,1956,0.0102734
325,1956,0.0177903
339,1956,0.0005203
345,1956,0.0066881
350,1956,0.0024027
355,1956,0.0029293
360,1956,0.006465
365,1956,0.1701965
375,1956,0.0012438
380,1956,0.0044755
385,1956,0.0011954
390,1956,0.0015824
395,1956,0.0000127
450,1956,0.0000919
530,1956,0.0020159
560,1956,0.0047272
600,1956,0.0015641
616,1956,0.0004852
620,1956,0.000198
625,1956,0.0008619
630,1956,0.0050572
640,1956,0.0071917
645,1956,0.0016339
651,1956,0.0052115
652,1956,0.0010039
660,1956,0.0003885
663,1956,0.0004224
666,1956,0.0011856
670,1956,0.0015756
678,1956,0.0004611
700,1956,0.0011591
710,1956,0.0981378
712,1956,0.0003163
713,1956,0.0062335
731,1956,0.004441
732,1956,0.0088688
740,1956,0.0314819
750,1956,0.0451881
770,1956,0.0097849
775,1956,0.002165
780,1956,0.0007995
790,1956,0.0007681
800,1956,0.0028307
811,1956,0.0008256
812,1956,0.0003797
816,1956,0.003586
817,1956,0.0028017
840,1956,0.0031855
850,1956,0.0123795
900,1956,0.0068869
920,1956,0.0006303
2,1957,0.2550486
20,1957,0.0132075
40,1957,0.0014732
41,1957,0.0003381
42,1957,0.0005362
70,1957,0.0065243
90,1957,0.0004494
91,1957,0.0001515
92,1957,0.0002994
93,1957,0.0001958
94,1957,0.0001189
95,1957,0.0001897
100,1957,0.0030797
101,1957,0.0060715
130,1957,0.000717
135,1957,0.001707
140,1957,0.0125128
145,1957,0.000527
150,1957,0.0002765
155,1957,0.0020981
160,1957,0.0073708
165,1957,0.0006602
200,1957,0.0473189
205,1957,0.0006928
210,1957,0.0069896
211,1957,0.0077318
212,1957,0.0021452
220,1957,0.0327303
225,1957,0.0016817
230,1957,0.0107244
235,1957,0.0019206
260,1957,0.0372537
265,1957,0.0095078
290,1957,0.013803
305,1957,0.0036776
310,1957,0.0031168
315,1957,0.0103961
325,1957,0.0181723
339,1957,0.0005115
345,1957,0.0068053
350,1957,0.0024392
355,1957,0.0029972
360,1957,0.0062649
365,1957,0.1672666
375,1957,0.0012567
380,1957,0.0039175
385,1957,0.0012171
390,1957,0.0015799
395,1957,0.0000128
450,1957,0.0000802
452,1957,0.0006097
530,1957,0.0020597
560,1957,0.0047776
600,1957,0.0016381
616,1957,0.0004922
620,1957,0.0002078
625,1957,0.0008614
630,1957,0.0053636
640,1957,0.0074336
645,1957,0.001691
651,1957,0.0052411
652,1957,0.0012893
660,1957,0.0004132
663,1957,0.0005228
666,1957,0.0011808
670,1957,0.001427
678,1957,0.0004646
700,1957,0.001169
710,1957,0.0995304
712,1957,0.0004316
713,1957,0.006829
731,1957,0.0048034
732,1957,0.0090927
740,1957,0.0328617
750,1957,0.0457935
770,1957,0.0099478
775,1957,0.0022598
780,1957,0.0008089
790,1957,0.0007679
800,1957,0.0032868
811,1957,0.0007976
812,1957,0.0003769
816,1957,0.0037391
817,1957,0.0028541
820,1957,0.0014611
840,1957,0.0033356
850,1957,0.0127884
900,1957,0.0070046
920,1957,0.0006216
2,1958,0.23447
20,1958,0.0125974
40,1958,0.0017592
41,1958,0.0003409
42,1958,0.0005074
70,1958,0.0069275
90,1958,0.0004502
91,1958,0.0001966
92,1958,0.0003007
93,1958,0.000195
94,1958,0.0001175
95,1958,0.0001884
100,1958,0.0031246
101,1958,0.0059761
130,1958,0.0007284
135,1958,0.0018544
140,1958,0.0138924
145,1958,0.000489
150,1958,0.0002855
155,1958,0.0021477
160,1958,0.0070229
165,1958,0.0006485
200,1958,0.0452031
205,1958,0.0006673
210,1958,0.0069759
211,1958,0.0076895
212,1958,0.0022324
220,1958,0.0337533
225,1958,0.001664
230,1958,0.0107715
235,1958,0.0019109
260,1958,0.0358253
265,1958,0.0096852
290,1958,0.0142122
305,1958,0.0036472
310,1958,0.0035653
315,1958,0.0109429
325,1958,0.0182171
339,1958,0.0004987
345,1958,0.0070203
350,1958,0.0024989
355,1958,0.0029091
360,1958,0.0064503
365,1958,0.1709534
375,1958,0.0012415
380,1958,0.0039597
385,1958,0.0012271
390,1958,0.0015096
395,1958,0.0000129
438,1958,0.0002427
450,1958,0.0000978
452,1958,0.0006148
530,1958,0.002103
560,1958,0.0049306
600,1958,0.0016877
616,1958,0.000488
620,1958,0.0002133
625,1958,0.0008634
630,1958,0.0055935
640,1958,0.0075132
645,1958,0.0017766
651,1958,0.0053219
652,1958,0.001362
660,1958,0.0004246
663,1958,0.0006296
666,1958,0.0011891
670,1958,0.0015082
678,1958,0.0004705
700,1958,0.0011763
710,1958,0.1084182
712,1958,0.0003646
713,1958,0.0075943
731,1958,0.0078215
732,1958,0.0092911
740,1958,0.03327
750,1958,0.0463424
770,1958,0.0101953
775,1958,0.0023724
780,1958,0.0008189
790,1958,0.0007695
800,1958,0.0032718
811,1958,0.0008075
812,1958,0.0003912
816,1958,0.0039531
817,1958,0.0028872
820,1958,0.0014766
840,1958,0.0033568
850,1958,0.0126125
900,1958,0.0072526
920,1958,0.00061
2,1959,0.2289647
20,1959,0.0128275
40,1959,0.0017135
41,1959,0.0003608
42,1959,0.0005215
70,1959,0.0071272
90,1959,0.0004506
91,1959,0.000198
92,1959,0.0002993
93,1959,0.0002084
94,1959,0.000117
95,1959,0.0001904
100,1959,0.0032738
101,1959,0.0062443
130,1959,0.0007319
135,1959,0.0018497
140,1959,0.0141299
145,1959,0.0004989
150,1959,0.0003084
155,1959,0.0022294
160,1959,0.0069331
165,1959,0.0006386
200,1959,0.0420319
205,1959,0.0007334
210,1959,0.0066679
211,1959,0.0073392
212,1959,0.0021104
220,1959,0.0325902
225,1959,0.001585
230,1959,0.0104077
235,1959,0.0019044
260,1959,0.0399203
265,1959,0.0092387
290,1959,0.0134182
305,1959,0.0034668
310,1959,0.0036906
315,1959,0.0110911
325,1959,0.0178329
339,1959,0.000471
345,1959,0.0071121
350,1959,0.0025909
355,1959,0.0027232
360,1959,0.0066784
365,1959,0.1712012
375,1959,0.0012948
380,1959,0.0039859
385,1959,0.0012325
390,1959,0.0014765
395,1959,0.000013
438,1959,0.0002439
450,1959,0.0000974
452,1959,0.00062
530,1959,0.001708
560,1959,0.004678
600,1959,0.0017048
616,1959,0.0005403
620,1959,0.0002049
625,1959,0.000872
630,1959,0.0056616
640,1959,0.0073587
645,1959,0.0017597
651,1959,0.0062583
660,1959,0.0004187
663,1959,0.0006516
666,1959,0.001192
670,1959,0.0012976
678,1959,0.0004729
700,1959,0.0012464
710,1959,0.1169668
712,1959,0.0003892
713,1959,0.0074521
731,1959,0.0056039
732,1959,0.0093959
740,1959,0.0347292
750,1959,0.0468705
770,1959,0.0102721
775,1959,0.0024664
780,1959,0.0008271
790,1959,0.00077
800,1959,0.0032551
811,1959,0.0008054
812,1959,0.0004274
816,1959,0.004111
817,1959,0.0029138
820,1959,0.0014561
840,1959,0.0033443
850,1959,0.0127839
900,1959,0.0070529
920,1959,0.0006157
2,1960,0.2154438
20,1960,0.0124448
40,1960,0.0018325
41,1960,0.000364
42,1960,0.000511
70,1960,0.0071328
90,1960,0.0004575
91,1960,0.0001976
92,1960,0.0002995
93,1960,0.0002055
94,1960,0.0001139
95,1960,0.0001623
100,1960,0.0032873
101,1960,0.0061921
130,1960,0.0007451
135,1960,0.0018253
140,1960,0.0146235
145,1960,0.0004663
150,1960,0.0003041
155,1960,0.0022778
160,1960,0.0067581
165,1960,0.0005874
200,1960,0.0423343
205,1960,0.0007395
210,1960,0.0068123
211,1960,0.0072474
212,1960,0.0020712
220,1960,0.0328493
225,1960,0.001582
230,1960,0.009779
235,1960,0.0018515
260,1960,0.0407352
265,1960,0.0087853
290,1960,0.0131741
305,1960,0.0036313
310,1960,0.0038596
315,1960,0.0109957
325,1960,0.01816
339,1960,0.0004933
345,1960,0.0070759
350,1960,0.0026411
352,1960,0.0000648
355,1960,0.002517
360,1960,0.0068207
365,1960,0.17179
375,1960,0.0012792
380,1960,0.0038984
385,1960,0.0012088
390,1960,0.0014778
395,1960,0.0000128
432,1960,0.0003188
433,1960,0.0003432
434,1960,0.0001281
435,1960,0.0000582
436,1960,0.0001743
437,1960,0.0002863
438,1960,0.0002576
439,1960,0.0002379
450,1960,0.0000661
452,1960,0.0006422
461,1960,0.0000829
471,1960,0.0003291
475,1960,0.0041064
481,1960,0.0000304
482,1960,0.0000743
483,1960,0.0001754
484,1960,0.0000603
490,1960,0.0013258
520,1960,0.0002528
530,1960,0.001659
560,1960,0.0046757
580,1960,0.0004032
600,1960,0.001678
616,1960,0.0005587
620,1960,0.0002025
625,1960,0.0008449
630,1960,0.0062873
640,1960,0.0071199
645,1960,0.0019411
651,1960,0.006293
660,1960,0.0004178
663,1960,0.0003036
666,1960,0.0012166
670,1960,0.001404
678,1960,0.0003947
700,1960,0.0013066
710,1960,0.1192724
712,1960,0.0003573
713,1960,0.0073053
731,1960,0.0051981
732,1960,0.0093396
740,1960,0.0363349
750,1960,0.0460935
770,1960,0.0103055
775,1960,0.002544
780,1960,0.0008157
790,1960,0.0007468
800,1960,0.0031603
811,1960,0.0008164
812,1960,0.0004502
816,1960,0.0041745
817,1960,0.0029324
820,1960,0.001513
840,1960,0.0032708
850,1960,0.0127582
900,1960,0.0069719
920,1960,0.0006093
2,1961,0.2106549
20,1961,0.0125685
40,1961,0.0037443
41,1961,0.0003556
42,1961,0.0005211
70,1961,0.0074903
90,1961,0.0004555
91,1961,0.0002164
92,1961,0.0002852
93,1961,0.0002069
94,1961,0.0001123
95,1961,0.0001634
100,1961,0.0036812
101,1961,0.0062473
130,1961,0.0008164
135,1961,0.0019133
140,1961,0.0146786
145,1961,0.0005279
150,1961,0.000375
155,1961,0.0025306
160,1961,0.0068013
165,1961,0.0007046
200,1961,0.0400909
205,1961,0.0006783
210,1961,0.0067848
211,1961,0.0070954
212,1961,0.0020903
220,1961,0.0303877
225,1961,0.0018668
230,1961,0.0098128
235,1961,0.0018871
260,1961,0.0404706
265,1961,0.009042
290,1961,0.0144405
305,1961,0.0035612
310,1961,0.0042928
315,1961,0.0113344
325,1961,0.0199672
339,1961,0.0007053
345,1961,0.0062443
350,1961,0.0026485
352,1961,0.0000643
355,1961,0.0027722
360,1961,0.0077229
365,1961,0.173759
375,1961,0.0013344
380,1961,0.0043864
385,1961,0.0012564
390,1961,0.0015845
395,1961,0.0000129
432,1961,0.0003227
433,1961,0.0003788
434,1961,0.0001202
435,1961,0.000059
436,1961,0.0001766
437,1961,0.0003215
438,1961,0.0002695
439,1961,0.0002372
450,1961,0.0000625
451,1961,0.000178
452,1961,0.0006947
461,1961,0.0000831
471,1961,0.0003937
475,1961,0.0041199
481,1961,0.000031
482,1961,0.000075
483,1961,0.000176
484,1961,0.0001036
490,1961,0.0013244
510,1961,0.0006459
520,1961,0.000291
530,1961,0.0016497
560,1961,0.0049205
580,1961,0.0004121
600,1961,0.0018185
616,1961,0.0005757
620,1961,0.0002473
625,1961,0.0009125
630,1961,0.0059514
640,1961,0.0069923
645,1961,0.0021218
651,1961,0.006397
652,1961,0.0012333
660,1961,0.0003998
663,1961,0.000555
666,1961,0.0012098
670,1961,0.0015025
678,1961,0.0002493
690,1961,0.0006805
700,1961,0.0017574
710,1961,0.1049435
712,1961,0.0003801
713,1961,0.0072995
731,1961,0.0053248
732,1961,0.0089044
740,1961,0.0393312
750,1961,0.0487279
770,1961,0.0105615
775,1961,0.0026011
780,1961,0.0008451
790,1961,0.0007462
800,1961,0.0030194
811,1961,0.0010774
812,1961,0.0006648
816,1961,0.0038624
817,1961,0.0048897
820,1961,0.0017814
840,1961,0.0033707
850,1961,0.0130464
900,1961,0.0070297
920,1961,0.0005972
2,1962,0.2099114
20,1962,0.01263
40,1962,0.0036522
41,1962,0.0003506
42,1962,0.000517
51,1962,0.0001507
52,1962,0.000916
70,1962,0.0076251
90,1962,0.0004647
91,1962,0.0002219
92,1962,0.0002856
93,1962,0.000205
94,1962,0.0001103
95,1962,0.0001623
100,1962,0.0037175
101,1962,0.0064961
130,1962,0.0007863
135,1962,0.0019266
140,1962,0.0149167
145,1962,0.0005227
150,1962,0.0003559
155,1962,0.00266
160,1962,0.0068319
165,1962,0.000699
200,1962,0.0376892
205,1962,0.0006596
210,1962,0.0067622
211,1962,0.0070632
212,1962,0.0019982
220,1962,0.0294007
225,1962,0.0018681
230,1962,0.0096202
235,1962,0.001867
260,1962,0.0401524
265,1962,0.0095002
290,1962,0.0143218
305,1962,0.0034132
310,1962,0.0044508
315,1962,0.0114063
325,1962,0.0200291
339,1962,0.0006796
345,1962,0.0054824
350,1962,0.002518
352,1962,0.0000635
355,1962,0.0028222
360,1962,0.0076843
365,1962,0.1763372
375,1962,0.0013448
380,1962,0.0042701
385,1962,0.0012759
390,1962,0.0016749
395,1962,0.0000127
432,1962,0.0003315
433,1962,0.0003828
434,1962,0.0001615
435,1962,0.0000594
436,1962,0.0001788
437,1962,0.0003302
438,1962,0.0002717
439,1962,0.0002388
450,1962,0.0000719
451,1962,0.0001844
452,1962,0.0006874
461,1962,0.0000916
471,1962,0.0004055
475,1962,0.0040838
481,1962,0.0000293
482,1962,0.000109
483,1962,0.0001734
484,1962,0.0001204
490,1962,0.0013851
500,1962,0.000436
510,1962,0.0006393
516,1962,0.0001746
517,1962,0.0001621
520,1962,0.0002892
